query,approved,rejected,errors,approved_dir,report
Furkan Estetik klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Furkan_Estetik_klinik,output/report_Furkan_Estetik_klinik.csv
Gokay Bilgin klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Gokay_Bilgin_klinik,output/report_Gokay_Bilgin_klinik.csv
Gcc Gokdemir Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Gcc_Gokdemir_Clinic_klinik,output/report_Gcc_Gokdemir_Clinic_klinik.csv
Gokhan Gur klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Gokhan_Gur_klinik,output/report_Gokhan_Gur_klinik.csv
Gold Fue Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Gold_Fue_Hair_Clinic_klinik,output/report_Gold_Fue_Hair_Clinic_klinik.csv
Gökceklinik klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Gökceklinik_klinik,output/report_Gökceklinik_klinik.csv
Gökçek Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Gökçek_Clinic_klinik,output/report_Gökçek_Clinic_klinik.csv
Gür Hair Transplant Centre klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Gür_Hair_Transplant_Centre_klinik,output/report_Gür_Hair_Transplant_Centre_klinik.csv
Hlc klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hlc_klinik,output/report_Hlc_klinik.csv
Hwt Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hwt_Clinic_klinik,output/report_Hwt_Clinic_klinik.csv
Hair Transplant Turkey - Dr.erkam Caymaz klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hair_Transplant_Turkey_-_Drerkam_Caymaz_klinik,output/report_Hair_Transplant_Turkey_-_Drerkam_Caymaz_klinik.csv
Hair Extreme - Medilife Hospital klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hair_Extreme_-_Medilife_Hospital_klinik,output/report_Hair_Extreme_-_Medilife_Hospital_klinik.csv
Hair Transplantation - Dr. Hakan Doganay klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hair_Transplantation_-_Dr_Hakan_Doganay_klinik,output/report_Hair_Transplantation_-_Dr_Hakan_Doganay_klinik.csv
Hairneva - Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hairneva_-_Hair_Transplant_klinik,output/report_Hairneva_-_Hair_Transplant_klinik.csv
Hairneva Hair Transplant By Assoc. Prof. Dr. Güncel Öztürk klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hairneva_Hair_Transplant_By_Assoc_Prof_Dr_Güncel_Öztürk_klinik,output/report_Hairneva_Hair_Transplant_By_Assoc_Prof_Dr_Güncel_Öztürk_klinik.csv
Hairteamturkey klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hairteamturkey_klinik,output/report_Hairteamturkey_klinik.csv
Hairavrasya klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hairavrasya_klinik,output/report_Hairavrasya_klinik.csv
Hakan Ikizoglu klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hakan_Ikizoglu_klinik,output/report_Hakan_Ikizoglu_klinik.csv
Hala Ibrahim Elgmati klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hala_Ibrahim_Elgmati_klinik,output/report_Hala_Ibrahim_Elgmati_klinik.csv
Happyyou Health klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Happyyou_Health_klinik,output/report_Happyyou_Health_klinik.csv
Hasan Demir klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hasan_Demir_klinik,output/report_Hasan_Demir_klinik.csv
Heva Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Heva_Clinic_klinik,output/report_Heva_Clinic_klinik.csv
Hisar Hospital klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hisar_Hospital_klinik,output/report_Hisar_Hospital_klinik.csv
Hulya Duzgunkaya Hai̇r Transplantati̇on Cli̇ni̇c klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hulya_Duzgunkaya_Hair_Transplantation_Clinic_klinik,output/report_Hulya_Duzgunkaya_Hair_Transplantation_Clinic_klinik.csv
Hüseyin Mızrak Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Hüseyin_Mızrak_Hair_Clinic_klinik,output/report_Hüseyin_Mızrak_Hair_Clinic_klinik.csv
Icefue klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Icefue_klinik,output/report_Icefue_klinik.csv
Ismet Emrah Emre klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ismet_Emrah_Emre_klinik,output/report_Ismet_Emrah_Emre_klinik.csv
Koc Healthcare - Hair Loss klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Koc_Healthcare_-_Hair_Loss_klinik,output/report_Koc_Healthcare_-_Hair_Loss_klinik.csv
Kardelen Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Kardelen_Clinic_klinik,output/report_Kardelen_Clinic_klinik.csv
Karşıyaka Göz Hastanesi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Karşıyaka_Göz_Hastanesi_klinik,output/report_Karşıyaka_Göz_Hastanesi_klinik.csv
Kerem Ugur Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Kerem_Ugur_Hair_Transplant_klinik,output/report_Kerem_Ugur_Hair_Transplant_klinik.csv
Kinglike Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Kinglike_Clinic_klinik,output/report_Kinglike_Clinic_klinik.csv
Koray Erdoğan Asmed klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Koray_Erdoğan_Asmed_klinik,output/report_Koray_Erdoğan_Asmed_klinik.csv
Kramer Medical - Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Kramer_Medical_-_Hair_Transplant_klinik,output/report_Kramer_Medical_-_Hair_Transplant_klinik.csv
Kurmay Celen klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Kurmay_Celen_klinik,output/report_Kurmay_Celen_klinik.csv
Lenus Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Lenus_Clinic_klinik,output/report_Lenus_Clinic_klinik.csv
Leyla Arvas klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Leyla_Arvas_klinik,output/report_Leyla_Arvas_klinik.csv
Liv Hastanesi Ulus klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Liv_Hastanesi_Ulus_klinik,output/report_Liv_Hastanesi_Ulus_klinik.csv
Live Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Live_Hair_Clinic_klinik,output/report_Live_Hair_Clinic_klinik.csv
Longevita Hair Transplant - Istanbul klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Longevita_Hair_Transplant_-_Istanbul_klinik,output/report_Longevita_Hair_Transplant_-_Istanbul_klinik.csv
Maral Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Maral_Hair_Transplant_klinik,output/report_Maral_Hair_Transplant_klinik.csv
Mayclinik Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Mayclinik_Hair_Transplant_klinik,output/report_Mayclinik_Hair_Transplant_klinik.csv
Medplus Hair Clinic Turkey klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medplus_Hair_Clinic_Turkey_klinik,output/report_Medplus_Hair_Clinic_Turkey_klinik.csv
Medcity Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medcity_Clinic_klinik,output/report_Medcity_Clinic_klinik.csv
Medeks klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medeks_klinik,output/report_Medeks_klinik.csv
Medhair Clinic Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medhair_Clinic_Hair_Transplant_klinik,output/report_Medhair_Clinic_Hair_Transplant_klinik.csv
Medibeauty Klinik klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medibeauty_Klinik_klinik,output/report_Medibeauty_Klinik_klinik.csv
Medipol Mega klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medipol_Mega_klinik,output/report_Medipol_Mega_klinik.csv
Medipol University Pendik Hastanesi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medipol_University_Pendik_Hastanesi_klinik,output/report_Medipol_University_Pendik_Hastanesi_klinik.csv
Medireve klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medireve_klinik,output/report_Medireve_klinik.csv
Medipunto Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medipunto_Clinic_klinik,output/report_Medipunto_Clinic_klinik.csv
Medispa Clinic Turkey klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medispa_Clinic_Turkey_klinik,output/report_Medispa_Clinic_Turkey_klinik.csv
Mediterra Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Mediterra_Clinic_klinik,output/report_Mediterra_Clinic_klinik.csv
Medlife Group - Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Medlife_Group_-_Hair_Transplant_klinik,output/report_Medlife_Group_-_Hair_Transplant_klinik.csv
Mehmet Erdogan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Mehmet_Erdogan_klinik,output/report_Mehmet_Erdogan_klinik.csv
Mehmet Simsek klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Mehmet_Simsek_klinik,output/report_Mehmet_Simsek_klinik.csv
Memorial Bahçelievler Hastanesi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Memorial_Bahçelievler_Hastanesi_klinik,output/report_Memorial_Bahçelievler_Hastanesi_klinik.csv
Murat Makascı Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Murat_Makascı_Clinic_klinik,output/report_Murat_Makascı_Clinic_klinik.csv
Nk Klinik Op. Dr. Nihat Kaya klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Nk_Klinik_Op_Dr_Nihat_Kaya_klinik,output/report_Nk_Klinik_Op_Dr_Nihat_Kaya_klinik.csv
Ns Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ns_Hair_Clinic_klinik,output/report_Ns_Hair_Clinic_klinik.csv
Naci Karacaoglan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Naci_Karacaoglan_klinik,output/report_Naci_Karacaoglan_klinik.csv
Noa Sac Ekimi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Noa_Sac_Ekimi_klinik,output/report_Noa_Sac_Ekimi_klinik.csv
Nimclinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Nimclinic_klinik,output/report_Nimclinic_klinik.csv
North Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/North_Hair_Transplant_klinik,output/report_North_Hair_Transplant_klinik.csv
Now Hair Time klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Now_Hair_Time_klinik,output/report_Now_Hair_Time_klinik.csv
Now Aesthetic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Now_Aesthetic_klinik,output/report_Now_Aesthetic_klinik.csv
Noya Hair Transplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Noya_Hair_Transplant_klinik,output/report_Noya_Hair_Transplant_klinik.csv
Nur Hair Center klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Nur_Hair_Center_klinik,output/report_Nur_Hair_Center_klinik.csv
Otek Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Otek_Hair_Clinic_klinik,output/report_Otek_Hair_Clinic_klinik.csv
Omer Calka klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Omer_Calka_klinik,output/report_Omer_Calka_klinik.csv
Omer Ozkan Klinik klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Omer_Ozkan_Klinik_klinik,output/report_Omer_Ozkan_Klinik_klinik.csv
One Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/One_Hair_Clinic_klinik,output/report_One_Hair_Clinic_klinik.csv
Onep Plastic Surgery Longevity Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Onep_Plastic_Surgery_Longevity_Clinic_klinik,output/report_Onep_Plastic_Surgery_Longevity_Clinic_klinik.csv
Op Dr Ayse Ozturk klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Ayse_Ozturk_klinik,output/report_Op_Dr_Ayse_Ozturk_klinik.csv
Op Dr Tolga Yener Aethetic Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Tolga_Yener_Aethetic_Clinic_klinik,output/report_Op_Dr_Tolga_Yener_Aethetic_Clinic_klinik.csv
Op Dr İlhan Serdaroğlu klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_İlhan_Serdaroğlu_klinik,output/report_Op_Dr_İlhan_Serdaroğlu_klinik.csv
Op. Dr. Ahmet Aksoylar klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Ahmet_Aksoylar_klinik,output/report_Op_Dr_Ahmet_Aksoylar_klinik.csv
Op. Dr. Ali Tufan Soydan Estetik Ve Plastik Cerrah klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Ali_Tufan_Soydan_Estetik_Ve_Plastik_Cerrah_klinik,output/report_Op_Dr_Ali_Tufan_Soydan_Estetik_Ve_Plastik_Cerrah_klinik.csv
Op. Dr. Beşir Öner klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Beşir_Öner_klinik,output/report_Op_Dr_Beşir_Öner_klinik.csv
Op. Dr. Ferruh Bingul klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Ferruh_Bingul_klinik,output/report_Op_Dr_Ferruh_Bingul_klinik.csv
Op. Dr. Onur Serin klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Onur_Serin_klinik,output/report_Op_Dr_Onur_Serin_klinik.csv
Op. Dr. Selçuk Yüce klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Selçuk_Yüce_klinik,output/report_Op_Dr_Selçuk_Yüce_klinik.csv
Op. Dr. Sema Özden Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Sema_Özden_Clinic_klinik,output/report_Op_Dr_Sema_Özden_Clinic_klinik.csv
Op. Dr. Taner Korkut klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_Taner_Korkut_klinik,output/report_Op_Dr_Taner_Korkut_klinik.csv
Op. Dr. İlhan Pekdemir klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Op_Dr_İlhan_Pekdemir_klinik,output/report_Op_Dr_İlhan_Pekdemir_klinik.csv
Op.dr Melike Erdim klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Opdr_Melike_Erdim_klinik,output/report_Opdr_Melike_Erdim_klinik.csv
Op.dr. Avni Hakan Ölmeztürk klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Opdr_Avni_Hakan_Ölmeztürk_klinik,output/report_Opdr_Avni_Hakan_Ölmeztürk_klinik.csv
Op.dr. Aydın Tekgöz - Aesthetic Surgeon & Hair Transplant Specialist klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Opdr_Aydın_Tekgöz_-_Aesthetic_Surgeon_Hair_Transplant_Specialist,output/report_Opdr_Aydın_Tekgöz_-_Aesthetic_Surgeon_Hair_Transplant_Specialist.csv
Op.dr.m.nebil Bozdoğan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Opdrmnebil_Bozdoğan_klinik,output/report_Opdrmnebil_Bozdoğan_klinik.csv
Op.dr.tamer Yavas klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Opdrtamer_Yavas_klinik,output/report_Opdrtamer_Yavas_klinik.csv
Opr. Dr. Ayaz Aslan klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Opr_Dr_Ayaz_Aslan_klinik,output/report_Opr_Dr_Ayaz_Aslan_klinik.csv
Orbismed Clinics klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Orbismed_Clinics_klinik,output/report_Orbismed_Clinics_klinik.csv
Ozel Vera Poliklinigi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ozel_Vera_Poliklinigi_klinik,output/report_Ozel_Vera_Poliklinigi_klinik.csv
Ozlem Bicer klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ozlem_Bicer_klinik,output/report_Ozlem_Bicer_klinik.csv
Plasti̇c Surgery Turkey Group klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Plastic_Surgery_Turkey_Group_klinik,output/report_Plastic_Surgery_Turkey_Group_klinik.csv
Poss Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Poss_Clinic_klinik,output/report_Poss_Clinic_klinik.csv
Peraclinic Hair Transplant And Aesthetic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Peraclinic_Hair_Transplant_And_Aesthetic_klinik,output/report_Peraclinic_Hair_Transplant_And_Aesthetic_klinik.csv
Perlaplusmed klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Perlaplusmed_klinik,output/report_Perlaplusmed_klinik.csv
Prof Dr Ali Rıza Erçöçen klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Prof_Dr_Ali_Rıza_Erçöçen_klinik,output/report_Prof_Dr_Ali_Rıza_Erçöçen_klinik.csv
Quartz Hastanesi klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Quartz_Hastanesi_klinik,output/report_Quartz_Hastanesi_klinik.csv
Rnr Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Rnr_Hair_Clinic_klinik,output/report_Rnr_Hair_Clinic_klinik.csv
Rebornia Hair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Rebornia_Hair_klinik,output/report_Rebornia_Hair_klinik.csv
Renovaa Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Renovaa_Clinic_klinik,output/report_Renovaa_Clinic_klinik.csv
Resul Yaman klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Resul_Yaman_klinik,output/report_Resul_Yaman_klinik.csv
Safiye Kurt klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Safiye_Kurt_klinik,output/report_Safiye_Kurt_klinik.csv
Sapphire Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sapphire_Hair_Clinic_klinik,output/report_Sapphire_Hair_Clinic_klinik.csv
Sema Aysan Kizildag klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sema_Aysan_Kizildag_klinik,output/report_Sema_Aysan_Kizildag_klinik.csv
Sema Önkül Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sema_Önkül_Hair_Clinic_klinik,output/report_Sema_Önkül_Hair_Clinic_klinik.csv
Seneca Hair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Seneca_Hair_klinik,output/report_Seneca_Hair_klinik.csv
Sener Kucuk Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sener_Kucuk_Clinic_klinik,output/report_Sener_Kucuk_Clinic_klinik.csv
Sercan Aslan Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sercan_Aslan_Hair_Clinic_klinik,output/report_Sercan_Aslan_Hair_Clinic_klinik.csv
Sercanaslanhairtransplant klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sercanaslanhairtransplant_klinik,output/report_Sercanaslanhairtransplant_klinik.csv
Serpil Asam Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Serpil_Asam_Hair_Clinic_klinik,output/report_Serpil_Asam_Hair_Clinic_klinik.csv
Sevcan Keskin klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sevcan_Keskin_klinik,output/report_Sevcan_Keskin_klinik.csv
Sevil Kara Reborn klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sevil_Kara_Reborn_klinik,output/report_Sevil_Kara_Reborn_klinik.csv
Sevilsclinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sevilsclinic_klinik,output/report_Sevilsclinic_klinik.csv
Shabab Look klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Shabab_Look_klinik,output/report_Shabab_Look_klinik.csv
Simsek Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Simsek_Clinic_klinik,output/report_Simsek_Clinic_klinik.csv
Smile Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Smile_Hair_Clinic_klinik,output/report_Smile_Hair_Clinic_klinik.csv
Soraca Med Istanbul klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Soraca_Med_Istanbul_klinik,output/report_Soraca_Med_Istanbul_klinik.csv
Smile Zone Turkey klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Smile_Zone_Turkey_klinik,output/report_Smile_Zone_Turkey_klinik.csv
Soracamed Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Soracamed_Clinic_klinik,output/report_Soracamed_Clinic_klinik.csv
Suna Akyürek klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Suna_Akyürek_klinik,output/report_Suna_Akyürek_klinik.csv
Sultan Özmen Hair Clinic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Sultan_Özmen_Hair_Clinic_klinik,output/report_Sultan_Özmen_Hair_Clinic_klinik.csv
Suzermed Hair Transplant & Plastic Surgery Center klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Suzermed_Hair_Transplant_Plastic_Surgery_Center_klinik,output/report_Suzermed_Hair_Transplant_Plastic_Surgery_Center_klinik.csv
Thc Aesthetic klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Thc_Aesthetic_klinik,output/report_Thc_Aesthetic_klinik.csv
Taksim Hair klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Taksim_Hair_klinik,output/report_Taksim_Hair_klinik.csv
Tayfun Oğuzoğlu klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Tayfun_Oğuzoğlu_klinik,output/report_Tayfun_Oğuzoğlu_klinik.csv
Tolgahan Alagoz klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Tolgahan_Alagoz_klinik,output/report_Tolgahan_Alagoz_klinik.csv
Turkeyana Clinic - Hair Transplantation klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Turkeyana_Clinic_-_Hair_Transplantation_klinik,output/report_Turkeyana_Clinic_-_Hair_Transplantation_klinik.csv
Ugurcan Sener klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Ugurcan_Sener_klinik,output/report_Ugurcan_Sener_klinik.csv
Uskudar Hospitalturk klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Uskudar_Hospitalturk_klinik,output/report_Uskudar_Hospitalturk_klinik.csv
Uz.dr.şerafettin Saraçoğlu klinik,0,0,0,/Users/umutbideci/Desktop/Projects/Cliniscope/image-scraper/output/approved/Uzdrşerafettin_Saraçoğlu_klinik,output/report_Uzdrşerafettin_Saraçoğlu_klinik.csv
